image_id,person,path
070220.jpg,9031,..\datasets\train\070220_aligned.jpg
007434.jpg,2240,..\datasets\train\007434_aligned.jpg
092170.jpg,6181,..\datasets\train\092170_aligned.jpg
093209.jpg,8654,..\datasets\train\093209_aligned.jpg
053715.jpg,9923,..\datasets\train\053715_aligned.jpg
000431.jpg,5329,..\datasets\train\000431_aligned.jpg
056732.jpg,5786,..\datasets\train\056732_aligned.jpg
133513.jpg,1422,..\datasets\train\133513_aligned.jpg
055113.jpg,2125,..\datasets\train\055113_aligned.jpg
017911.jpg,6322,..\datasets\train\017911_aligned.jpg
076626.jpg,8654,..\datasets\train\076626_aligned.jpg
060715.jpg,7850,..\datasets\train\060715_aligned.jpg
179537.jpg,2002,..\datasets\train\179537_aligned.jpg
177252.jpg,3211,..\datasets\train\177252_aligned.jpg
074347.jpg,7354,..\datasets\train\074347_aligned.jpg
080358.jpg,4061,..\datasets\train\080358_aligned.jpg
198879.jpg,8098,..\datasets\train\198879_aligned.jpg
159495.jpg,5544,..\datasets\train\159495_aligned.jpg
032371.jpg,661,..\datasets\train\032371_aligned.jpg
124189.jpg,4532,..\datasets\train\124189_aligned.jpg
161508.jpg,5896,..\datasets\train\161508_aligned.jpg
045956.jpg,6256,..\datasets\train\045956_aligned.jpg
153296.jpg,2017,..\datasets\train\153296_aligned.jpg
012827.jpg,3600,..\datasets\train\012827_aligned.jpg
123171.jpg,4874,..\datasets\train\123171_aligned.jpg
143953.jpg,6012,..\datasets\train\143953_aligned.jpg
155386.jpg,6263,..\datasets\train\155386_aligned.jpg
183405.jpg,8963,..\datasets\train\183405_aligned.jpg
030160.jpg,8618,..\datasets\train\030160_aligned.jpg
072335.jpg,10016,..\datasets\train\072335_aligned.jpg
148405.jpg,5272,..\datasets\train\148405_aligned.jpg
160476.jpg,2461,..\datasets\train\160476_aligned.jpg
000673.jpg,2611,..\datasets\train\000673_aligned.jpg
031603.jpg,6202,..\datasets\train\031603_aligned.jpg
085499.jpg,600,..\datasets\train\085499_aligned.jpg
009573.jpg,5530,..\datasets\train\009573_aligned.jpg
173992.jpg,1651,..\datasets\train\173992_aligned.jpg
170826.jpg,2899,..\datasets\train\170826_aligned.jpg
031929.jpg,1566,..\datasets\train\031929_aligned.jpg
126242.jpg,3149,..\datasets\train\126242_aligned.jpg
144788.jpg,4598,..\datasets\train\144788_aligned.jpg
089866.jpg,2332,..\datasets\train\089866_aligned.jpg
041127.jpg,7384,..\datasets\train\041127_aligned.jpg
098890.jpg,2243,..\datasets\train\098890_aligned.jpg
028283.jpg,5391,..\datasets\train\028283_aligned.jpg
066531.jpg,3697,..\datasets\train\066531_aligned.jpg
187236.jpg,10157,..\datasets\train\187236_aligned.jpg
052046.jpg,4853,..\datasets\train\052046_aligned.jpg
042442.jpg,6576,..\datasets\train\042442_aligned.jpg
006565.jpg,1033,..\datasets\train\006565_aligned.jpg
021786.jpg,371,..\datasets\train\021786_aligned.jpg
138230.jpg,6161,..\datasets\train\138230_aligned.jpg
145407.jpg,8386,..\datasets\train\145407_aligned.jpg
121438.jpg,9054,..\datasets\train\121438_aligned.jpg
024599.jpg,8485,..\datasets\train\024599_aligned.jpg
030929.jpg,975,..\datasets\train\030929_aligned.jpg
151566.jpg,1997,..\datasets\train\151566_aligned.jpg
193422.jpg,5774,..\datasets\train\193422_aligned.jpg
159303.jpg,5427,..\datasets\train\159303_aligned.jpg
011183.jpg,4811,..\datasets\train\011183_aligned.jpg
